Date,Return,Volume_Return,Day_Volatility,RSI,MACD,BB_Middle,BB_Upper,BB_Lower
2020-04-24 00:00:00-04:00,0.02886937217301977,0.010790421618018353,0.021239035020314573,54.004013855175955,0.8856736538749743,64.86092777252198,72.31886975120563,57.40298579383833
2020-04-27 00:00:00-04:00,0.0007066017488781551,-0.07192068559905895,0.01620933050900898,40.72595952275412,0.9895469451951868,65.29177970886231,72.62357246445022,57.959986953274395
2020-04-28 00:00:00-04:00,-0.016209457523827964,-0.04341023302211333,0.027388810155086537,49.398464551082654,0.970598233640743,65.58083763122559,72.81695511812691,58.34472014432427
2020-04-29 00:00:00-04:00,0.03284541709648492,0.22566889990428973,0.02008827219476774,50.91440595864751,1.1222176579453844,65.98748989105225,73.2540738058355,58.720905976268995
2020-04-30 00:00:00-04:00,0.021096049106551495,0.33350038752687916,0.02103469343959311,51.78003834386126,1.345986160068918,66.63066673278809,73.40150639625172,59.85982706932446
2020-05-01 00:00:00-04:00,-0.01609949815724776,0.31438622558231,0.04549068932542499,45.69192006942253,1.4141942190364318,67.1674373626709,73.24851514569036,61.086359579651436
2020-05-04 00:00:00-04:00,0.014149065837187225,-0.4448932909090304,0.025139838399245145,45.60968340924929,1.5308713709074198,67.7967514038086,72.68182557868789,62.9116772289293
2020-05-05 00:00:00-04:00,0.015009072299221327,0.10618711068519415,0.021978789483065694,53.39707422710815,1.6902075395595801,68.22346954345703,73.14271087492581,63.304228211988246
2020-05-06 00:00:00-04:00,0.010317056704437055,-0.036667045682200916,0.014536124293019082,50.3457754684047,1.8553438236152289,68.72448844909668,73.4837435008145,63.96523339737887
2020-05-07 00:00:00-04:00,0.01034495028127691,-0.19052704350905192,0.010535366793691022,53.72037293282309,2.0239196610343697,69.18258132934571,74.0773343616247,64.28782829706672
2020-05-08 00:00:00-04:00,0.023801696934395267,0.16163839493400167,0.01954018464251347,56.79958741577016,2.2731946632201954,69.70524063110352,75.01465917697604,64.395822085231
2020-05-11 00:00:00-04:00,0.015735148041186697,0.09046730983036255,0.031141859796431935,57.163744061936065,2.5375252943827746,70.22343864440919,76.18179471994299,64.26508256887539
2020-05-12 00:00:00-04:00,-0.011428109482703008,0.11206031803456606,0.028194337612941656,43.13488288359602,2.6456699984915417,70.52992324829101,77.0076355710598,64.05221092552223
2020-05-13 00:00:00-04:00,-0.012073977296872096,0.2361116245597692,0.04141076224509789,48.42925511856458,2.6271019475634034,70.82242202758789,77.56578908317213,64.07905497200365
2020-05-14 00:00:00-04:00,0.006143310281556236,-0.2078192664428299,0.026684788840232593,45.389443264507165,2.6193839627638766,71.11048278808593,78.14280311162182,64.07816246455005
2020-05-15 00:00:00-04:00,-0.00591215482109908,0.04668242210997109,0.024991071641977912,48.563323015085395,2.5478845637781973,71.4235336303711,78.57557687340021,64.27149038734198
2020-05-18 00:00:00-04:00,0.023561222119254488,-0.18737781667872966,0.019621516520972795,58.186406549181875,2.603873737629698,71.89637145996093,79.16478259705497,64.6279603228669
2020-05-19 00:00:00-04:00,-0.0057786306779861185,-0.24744189900161562,0.01759589637317005,41.34734159396052,2.582658865437665,72.45111274719238,79.27011427503989,65.63211121934488
2020-05-20 00:00:00-04:00,0.019448254461566394,0.09609002689482704,0.00939761268287678,49.65187826680106,2.655081710817754,72.98611030578613,79.73288261550957,66.23933799606269
2020-05-21 00:00:00-04:00,-0.007455337311015886,-0.07906386092796003,0.015843520386772437,51.909237048310786,2.6352657061033256,73.50509872436524,79.86342168223985,67.14677576649063
2020-05-22 00:00:00-04:00,0.006438274632840413,-0.20338732169428408,0.012167219745309467,48.16429320914243,2.629394634583946,73.95240669250488,80.1809531117087,67.72386027330106
2020-05-26 00:00:00-04:00,-0.0067735146981364736,0.5344387505623251,0.024437186139298586,45.102267279187046,2.552809127875662,74.37094497680664,80.27839110541039,68.46349884820289
2020-05-27 00:00:00-04:00,0.004357090598978486,-0.10019598158091814,0.017666830266193884,48.69763260251948,2.4905615181533562,74.86212844848633,80.04194390047422,69.68231299649844
2020-05-28 00:00:00-04:00,0.0004401916190701627,0.18252745579272078,0.024540447945306496,47.871791436933385,2.4161337062205064,75.24374847412109,80.01772586546753,70.46977108277466
2020-05-29 00:00:00-04:00,-0.0009741687985824754,0.14953189858102078,0.014719735295478369,44.38594825655028,2.324255679152273,75.54777336120605,80.07413432692307,71.02141239548904
2020-06-01 00:00:00-04:00,0.012298008484812106,-0.47378403516130796,0.01597021765096479,49.23911647854466,2.301850462933473,75.95699577331543,79.93443535943858,71.97955618719227
2020-06-02 00:00:00-04:00,0.004629442425665653,0.08480626602897345,0.013948196377512342,53.89046996386324,2.287051000089079,76.33464851379395,79.85893123213368,72.81036579545422
2020-06-03 00:00:00-04:00,0.005505117084604327,0.1922394081430534,0.011995646138764235,54.25437613462758,2.2840215637316135,76.68049850463868,79.91226539285327,73.44873161642408
2020-06-04 00:00:00-04:00,-0.008612277484651432,-0.16203086958518997,0.015016121332555503,46.35664949922663,2.2011472868238116,76.95487365722656,79.82431155659847,74.08543575785464
2020-06-05 00:00:00-04:00,0.02848099330759357,0.5674939812974815,0.025701324324802106,57.557669414952805,2.2897218654160554,77.3033660888672,80.28778860978959,74.3189435679448
2020-06-08 00:00:00-04:00,0.00591243722931023,-0.3030665120101653,0.018832840341336372,46.00042466849261,2.3711537900255024,77.587841796875,80.96077687436596,74.21490671938403
2020-06-09 00:00:00-04:00,0.031577948949414125,0.5442300615549311,0.03953596317343778,58.609137641528164,2.612783756433089,77.94121170043945,82.31010431191315,73.57231908896576
2020-06-10 00:00:00-04:00,0.02572760149678799,0.1282167238498595,0.02460036494124961,51.58904548741813,2.9444894995777275,78.44639167785644,84.01482353123804,72.87795982447484
2020-06-11 00:00:00-04:00,-0.04801047734109187,0.21008379157475843,0.046382812906709835,41.70369368526752,2.841264066744273,78.79085960388184,84.32090448279413,73.26081472496955
2020-06-12 00:00:00-04:00,0.00863373596470729,-0.007519497933179409,0.04008260643906515,50.382261529248794,2.7844287566278467,79.14764404296875,84.70115984274989,73.59412824318761
2020-06-15 00:00:00-04:00,0.0123669728599749,-0.3064622825337504,0.038193552221637825,53.44639056252761,2.7896797804439046,79.57783355712891,85.12510023349537,74.03056688076245
2020-06-16 00:00:00-04:00,0.026502198506126895,0.1917745848966348,0.024085467251026352,53.94471316675578,2.9388404964114017,80.03045883178712,86.08116412077769,73.97975354279654
2020-06-17 00:00:00-04:00,-0.0013916656448205167,-0.30842513516388925,0.012258589844665895,49.699370730516556,3.0126811538053033,80.49930229187012,86.80231543112764,74.19628915261261
